symbol,entry_time,exit_time,entry_price,exit_price,pnl,trade_type,exit_reason,total_capital,tradable_ammount,quantity_bought,trade_ammount,absolute_profit,exit_ammount,charges,net_profit
SBILIFE,2024-08-27 11:55:00,2024-08-27 13:55:00,1832.2,1847.0,12.3599999999999,long,take_profit,8494.053357600009,5000,13.0,4763.72,160.6799999999987,4924.399999999999,26.3065088,134.3734911999987
DIVISLAB,2024-08-28 13:25:00,2024-08-28 13:30:00,5058.7,5042.71,-15.989999999999782,long,stop_loss,8628.426848800007,5000,4.0,4046.96,-63.95999999999913,3983.000000000001,22.3426808,-86.30268079999912
DIVISLAB,2024-08-28 13:35:00,2024-08-28 14:15:00,5048.1,5082.65,34.50999999999931,long,take_profit,8542.124168000008,5000,4.0,4038.4800000000005,138.03999999999724,4176.519999999998,22.3027464,115.73725359999723
BAJAJFINSV,2024-08-29 10:30:00,2024-08-29 15:25:00,1755.45,1753.2,-2.25,long,market_close,8657.861421600004,5000,14.0,4915.26,-31.5,4883.76,27.1804764,-58.6804764
BHARTIARTL,2024-08-30 11:10:00,2024-08-30 11:20:00,1606.75,1601.2,-5.5499999999999545,long,stop_loss,8599.180945200003,5000,15.0,4820.25,-83.24999999999932,4737.000000000001,26.621264999999998,-109.87126499999931
UPL,2024-08-30 11:25:00,2024-08-30 11:35:00,595.75,593.85,-1.8999999999999773,long,stop_loss,8489.309680200004,5000,41.0,4885.15,-77.89999999999907,4807.250000000001,26.971423599999998,-104.87142359999906
BAJAJFINSV,2024-09-02 10:40:00,2024-09-02 11:05:00,1839.0,1854.25,15.539999999999964,long,take_profit,8384.438256600004,5000,13.0,4781.4,202.01999999999953,4983.419999999999,26.431033199999998,175.58896679999953
BAJAJFINSV,2024-09-02 11:10:00,2024-09-02 12:40:00,1854.6,1845.93,-8.669999999999845,long,stop_loss,8560.027223400004,5000,13.0,4821.96,-112.70999999999799,4709.250000000002,26.669557199999996,-139.37955719999798
TITAN,2024-09-05 11:15:00,2024-09-05 12:15:00,3720.8,3746.6,27.659999999999854,long,take_profit,8420.647666200006,5000,6.0,4464.960000000001,165.95999999999913,4630.92,24.666813599999998,141.29318639999912
M&M,2024-09-09 10:30:00,2024-09-09 15:25:00,2700.0,2711.15,11.150000000000091,long,market_close,8561.940852600004,5000,9.0,4860.0,100.35000000000082,4960.35,26.833652999999998,73.51634700000082
AXISBANK,2024-09-10 10:35:00,2024-09-10 10:50:00,1189.55,1185.76,-3.7899999999999636,long,stop_loss,8635.457199600005,5000,21.0,4996.11,-79.58999999999924,4916.52,27.583802400000003,-107.17380239999923
BAJAJ-AUTO,2024-09-12 10:40:00,2024-09-12 12:20:00,11740.1,11692.47,-47.63000000000102,long,stop_loss,8528.283397200006,5000,2.0,4696.04,-95.26000000000204,4600.779999999998,25.953963200000004,-121.21396320000204
HINDALCO,2024-09-12 14:05:00,2024-09-12 14:45:00,668.9,672.85,4.139999999999986,long,take_profit,8407.069434000005,5000,37.0,4949.86,153.1799999999995,5103.039999999999,27.3253288,125.8546711999995
WIPRO,2024-09-13 10:50:00,2024-09-13 11:20:00,549.9,547.45,-2.449999999999932,long,stop_loss,8532.924105200003,5000,45.0,4949.1,-110.24999999999693,4838.850000000003,27.365876999999998,-137.61587699999694
