symbol,entry_time,exit_time,entry_price,exit_price,pnl,trade_type,exit_reason
INFY,2024-08-20 13:55:00,2024-08-20 15:20:00,1872.6,1875.2,-2.6000000000001364,short,stop_loss
ADANIENT,2024-08-20 15:25:00,2024-08-20 15:25:00,3069.0,3069.0,0.0,short,market_close
ULTRACEMCO,2024-08-21 09:15:00,2024-08-21 09:25:00,11299.95,11241.75,58.20000000000073,short,take_profit
ICICIBANK,2024-08-21 09:30:00,2024-08-21 11:10:00,1171.7,1166.5,5.2000000000000455,short,take_profit
TATASTEEL,2024-08-21 11:15:00,2024-08-21 11:25:00,152.26,152.6,-0.3400000000000034,short,stop_loss
TITAN,2024-08-21 11:30:00,2024-08-21 11:40:00,3511.65,3530.3,18.65000000000009,long,take_profit
TATACONSUM,2024-08-21 11:45:00,2024-08-21 12:10:00,1169.65,1171.65,-2.0,short,stop_loss
TATASTEEL,2024-08-21 12:15:00,2024-08-21 12:20:00,151.86,152.13,-0.2699999999999818,short,stop_loss
HDFCLIFE,2024-08-21 12:25:00,2024-08-21 14:15:00,724.65,721.6,-3.0499999999999545,long,stop_loss
SBILIFE,2024-08-21 14:20:00,2024-08-21 15:25:00,1797.3,1796.85,-0.4500000000000455,long,market_close
NESTLEIND,2024-08-22 09:15:00,2024-08-22 09:20:00,2550.0,2560.0,10.0,long,take_profit
HDFCBANK,2024-08-22 09:25:00,2024-08-22 15:25:00,1632.0,1631.6,-0.40000000000009095,long,market_close
TATACONSUM,2024-08-23 09:15:00,2024-08-23 09:45:00,1206.0,1203.0,-3.0,long,stop_loss
DIVISLAB,2024-08-23 09:50:00,2024-08-23 10:05:00,4895.85,4852.95,42.900000000000546,short,take_profit
TITAN,2024-08-23 10:10:00,2024-08-23 10:35:00,3552.95,3568.8,-15.850000000000364,short,stop_loss
MARUTI,2024-08-23 10:40:00,2024-08-23 14:10:00,12313.1,12275.45,-37.649999999999636,long,stop_loss
SUNPHARMA,2024-08-23 14:15:00,2024-08-23 14:20:00,1780.9,1778.25,-2.650000000000091,long,stop_loss
ITC,2024-08-23 14:25:00,2024-08-23 14:40:00,505.1,504.35,-0.75,long,stop_loss
EICHERMOT,2024-08-23 14:45:00,2024-08-23 15:20:00,4910.2,4895.75,14.449999999999818,short,take_profit
M&M,2024-08-23 15:25:00,2024-08-23 15:25:00,2758.9,2758.9,0.0,short,market_close
BAJAJFINSV,2024-08-26 10:05:00,2024-08-26 10:50:00,1669.0,1661.35,-7.650000000000091,long,stop_loss
TECHM,2024-08-26 10:55:00,2024-08-26 11:15:00,1617.35,1621.0,-3.650000000000091,short,stop_loss
ADANIENT,2024-08-26 11:20:00,2024-08-26 11:35:00,3058.55,3065.1,-6.549999999999727,short,stop_loss
NTPC,2024-08-26 11:40:00,2024-08-26 12:00:00,408.0,410.75,2.75,long,take_profit
NTPC,2024-08-26 12:05:00,2024-08-26 12:30:00,412.1,410.95,-1.150000000000034,long,stop_loss
SUNPHARMA,2024-08-26 12:35:00,2024-08-26 14:15:00,1775.45,1772.75,-2.7000000000000455,long,stop_loss
HINDALCO,2024-08-26 14:20:00,2024-08-26 15:25:00,710.55,712.3,1.75,long,market_close
SBIN,2024-08-27 09:15:00,2024-08-27 09:20:00,815.4,817.45,-2.050000000000068,short,stop_loss
