symbol,entry_time,exit_time,entry_price,exit_price,pnl,trade_type,exit_reason,,total amnt,tradable ammount,quantity bought,trade amount,absolute profit,exit amnt,charges
HCLTECH,04-07-2024 11:45,04-07-2024 14:20,1520.6,1533.4,12.800000000000182,long,take_profit,,9716.238027,5000,16,4865.92,204.8,5070.72,26.897728
ICICIBANK,04-07-2024 14:35,05-07-2024 10:10,1232.45,1223.85,-8.6,long,stop_loss,,9894.140299,5000,20,4929.8,-172,4757.8,27.00038
GRASIM,05-07-2024 10:15,05-07-2024 12:15,2729.95,2747,17.050000000000182,long,take_profit,,9695.139919,5000,9,4913.91,153.45,5067.36,27.127782
INFY,05-07-2024 12:20,05-07-2024 12:35,1664.4,1660.75,-3.65,long,stop_loss,,9821.462137,5000,15,4993.2,-54.75,4938.45,27.426465
INFY,05-07-2024 12:40,05-07-2024 14:05,1660.4,1652.1,-8.3,long,stop_loss,,9739.285672,5000,15,4981.2,-124.5,4856.7,27.31443
SBIN,05-07-2024 15:05,05-07-2024 15:25,859.9,860.5,0.6000000000000227,long,market_close,,9587.471242,5000,29,4987.42,17.4,5004.82,27.442294
TATACONSUM,08-07-2024 10:05,08-07-2024 11:55,1141.02,1136.23,-4.79,long,stop_loss,,9577.428948,5000,21,4792.284,-100.59,4691.694,26.2911726
ONGC,08-07-2024 12:00,08-07-2024 14:15,294.6,298,3.3999999999999773,long,take_profit,,9450.547775,5000,84,4949.28,285.6,5234.88,27.409536
HDFCLIFE,08-07-2024 14:20,08-07-2024 15:25,620,621.35,1.3500000000000227,long,market_close,,9708.738239,5000,40,4960,54,5014,27.31564
GRASIM,09-07-2024 09:15,09-07-2024 09:20,2738.3,2732,-6.3,long,stop_loss,,9735.422599,5000,9,4928.94,-56.7,4872.24,27.071748
KOTAKBANK,09-07-2024 09:25,09-07-2024 09:30,1861.5,1854,-7.5,long,stop_loss,,9651.650851,5000,13,4839.9,-97.5,4742.4,26.5551
ADANIENT,09-07-2024 09:35,09-07-2024 10:00,3152.75,3139.25,-13.5,long,stop_loss,,9527.595751,5000,7,4413.85,-94.5,4319.35,24.213805
CIPLA,09-07-2024 10:05,09-07-2024 15:25,1505.95,1514.35,8.399999999999864,long,market_close,,9408.881946,5000,16,4819.04,134.4,4953.44,26.593424
DIVISLAB,10-07-2024 11:25,10-07-2024 12:10,4588.2,4618.8,30.600000000000364,long,take_profit,,9516.688522,5000,5,4588.2,153,4741.2,25.33608
POWERGRID,10-07-2024 12:15,10-07-2024 13:10,346.35,345,-1.35,long,stop_loss,,9644.352442,5000,72,4987.44,-97.2,4890.24,27.366768
SBILIFE,10-07-2024 13:15,10-07-2024 15:25,1554.45,1558.85,4.399999999999864,long,market_close,,9519.785674,5000,16,4974.24,70.4,5044.64,27.404784
UPL,11-07-2024 09:15,11-07-2024 09:20,559.4,564.3,4.899999999999977,long,take_profit,,9562.78089,5000,44,4922.72,215.6,5138.32,27.217256
ASIANPAINT,11-07-2024 09:25,11-07-2024 09:30,3000.1,2982.65,-17.45,long,stop_loss,,9751.163634,5000,8,4800.16,-139.6,4660.56,26.308744
BPCL,11-07-2024 09:45,11-07-2024 13:15,304.6,307.7,3.099999999999966,long,take_profit,,9585.25489,5000,82,4995.44,254.2,5249.64,27.642692
KOTAKBANK,11-07-2024 13:20,11-07-2024 13:55,1833.6,1849.2,15.600000000000136,long,take_profit,,9811.812198,5000,13,4767.36,202.8,4970.16,26.354328
KOTAKBANK,11-07-2024 14:00,11-07-2024 14:05,1845.95,1850.95,5,long,take_profit,,9988.25787,5000,13,4799.47,65,4864.47,26.439985
KOTAKBANK,11-07-2024 14:10,11-07-2024 14:20,1850,1846,-4,long,stop_loss,,10026.81789,5000,13,4810,-52,4758,26.42068
HINDALCO,11-07-2024 14:25,11-07-2024 15:25,697.3,694.25,-3.05,long,stop_loss,,9948.397205,5000,35,4881.1,-106.75,4774.35,26.775595
CIPLA,12-07-2024 09:15,12-07-2024 09:25,1505.3,1512.5,7.2000000000000455,long,take_profit,,9814.87161,5000,16,4816.96,115.2,4932.16,26.569312
ONGC,12-07-2024 09:30,12-07-2024 09:35,308.65,306.75,-1.9,long,stop_loss,,9903.502298,5000,80,4938.4,-152,4786.4,27.06088
ONGC,12-07-2024 09:40,12-07-2024 10:45,306.1,310.85,4.75,long,take_profit,,9724.441418,5000,81,4958.82,384.75,5343.57,27.527445
TECHM,12-07-2024 10:50,12-07-2024 12:30,1498,1508.75,10.75,long,take_profit,,10081.66397,5000,16,4793.6,172,4965.6,26.47832
KOTAKBANK,12-07-2024 13:10,12-07-2024 13:35,1842.35,1849.95,7.600000000000136,long,take_profit,,10227.18565,5000,13,4790.11,98.8,4888.91,26.410813
JSWSTEEL,12-07-2024 13:40,12-07-2024 13:55,936.05,934,-2.05,long,stop_loss,,10299.57484,5000,26,4867.46,-53.3,4814.16,26.735852
INFY,12-07-2024 14:00,12-07-2024 14:30,1714.3,1709.8,-4.5,long,stop_loss,,10219.53899,5000,14,4800.04,-63,4737.04,26.35864
CIPLA,12-07-2024 14:35,15-07-2024 10:10,1512.7,1524.75,12.049999999999955,long,take_profit,,10130.18035,5000,16,4840.64,192.8,5033.44,26.750768
ITC,15-07-2024 10:20,16-07-2024 10:35,463.05,466,2.9499999999999886,long,take_profit,,10296.22958,5000,53,4908.33,156.35,5064.68,27.099006
M&M,16-07-2024 10:40,16-07-2024 11:40,2752.45,2745.5,-6.95,long,stop_loss,,10425.48057,5000,9,4954.41,-62.55,4891.86,27.207972
HDFCLIFE,16-07-2024 12:40,16-07-2024 14:55,646.15,652.5,6.350000000000023,long,take_profit,,10335.7226,5000,38,4910.74,241.3,5152.04,27.168328
INDUSINDBK,16-07-2024 15:05,16-07-2024 15:25,1447.4,1446.5,-0.9,long,market_close,,10549.85427,5000,17,4921.16,-15.3,4905.86,27.056282
TCS,18-07-2024 10:05,18-07-2024 10:45,4207.6,4234,26.399999999999636,long,take_profit,,10507.49799,5000,5,4207.6,132,4339.6,23.22892
TATACONSUM,18-07-2024 12:00,18-07-2024 13:00,1169.46,1165.81,-3.65,long,stop_loss,,10616.26907,5000,21,4911.732,-76.65,4835.082,26.963937
